side,entry_i,exit_i,entry_px,exit_px,hold_h,reason,gross,cost,net,exit_ts
long,313,344,42834.0,47453.53114123714,744.0,stop_loss,107.8472975028514,5.8500000000000005,101.99729750285141,1630972800000
long,373,394,51479.4,57995.062695762506,504.0,stop_loss,126.56834958765067,4.3500000000000005,122.21834958765068,1635292800000
long,407,414,67589.7,60292.61824386183,168.0,stop_loss,-107.96144613954745,2.25,-110.21144613954745,1637020800000
short,465,494,43439.9,41163.86420501389,696.0,stop_loss,52.395051438564856,5.550000000000001,46.84505143856485,1643932800000
long,546,555,46821.7,43289.6988077223,216.0,stop_loss,-75.43513354443981,2.55,-77.9851335444398,1649203200000
short,576,648,38104.2,22437.0365898733,1728.0,stop_loss,411.16631264077705,12.0,399.16631264077705,1657238400000
short,691,711,20835.2,20807.023182165893,480.0,stop_loss,1.352366084036058,4.2,-2.847633915963942,1662681600000
short,773,806,15905.0,17588.089142100012,792.0,stop_loss,-105.8213858597933,6.15,-111.9713858597933,1670889600000
long,871,886,24335.7,22191.016470677918,360.0,stop_loss,-88.12910782603676,3.45,-91.57910782603676,1677801600000
long,898,934,24667.2,28272.11573924694,864.0,stop_loss,146.14207284357116,6.6000000000000005,139.54207284357116,1681948800000
short,990,995,25127.2,27399.96016942134,120.0,stop_loss,-90.45019617869643,1.95,-92.40019617869643,1687219200000
short,1079,1082,25166.2,26886.077824465552,72.0,stop_loss,-68.34078345024483,1.65,-69.99078345024483,1694736000000
long,1121,1169,33098.3,40555.990766573894,1152.0,stop_loss,225.31945044228527,8.4,216.91945044228527,1702252800000
long,1192,1192,44956.9,41109.01906127176,0.0,stop_loss,-85.59044192834111,1.2,-86.79044192834111,1704240000000
long,1198,1201,46969.9,41665.8016493843,72.0,stop_loss,-112.925476754596,1.65,-114.57547675459601,1705017600000
long,1228,1254,44353.6,60945.844346917074,624.0,stop_loss,374.0901380478039,5.1000000000000005,368.9901380478039,1709596800000
long,1261,1268,72116.7,64099.28092776901,168.0,stop_loss,-111.17285000881887,2.25,-113.42285000881887,1710806400000
long,1331,1352,71481.8,66014.35457195433,504.0,stop_loss,-76.48723770310303,4.3500000000000005,-80.83723770310303,1718064000000
short,1376,1386,57065.2,62160.14994501999,240.0,stop_loss,-89.28295957991902,2.7,-91.98295957991903,1721001600000
short,1440,1446,53956.4,60476.47257726132,144.0,stop_loss,-120.83965159390388,2.1,-122.93965159390387,1726185600000
long,1460,1464,65166.0,61152.09436646162,96.0,stop_loss,-61.595089978491536,1.8,-63.395089978491534,1727740800000
long,1479,1498,67082.9,67043.11933895368,456.0,stop_loss,-0.5930074735337292,4.05,-4.643007473533729,1730678400000
long,1501,1529,75598.1,89843.4755942433,672.0,stop_loss,188.43562991984308,5.4,183.03562991984307,1733356800000
long,1541,1543,106078.1,95996.07339514447,48.0,stop_loss,-95.04343125353428,1.5,-96.54343125353428,1734566400000
long,1573,1589,104100.1,95004.81783684625,384.0,stop_loss,-87.37054203745963,3.6000000000000005,-90.97054203745962,1738540800000
short,1612,1616,88676.4,94002.01448728942,96.0,stop_loss,-60.05672859170448,1.8,-61.856728591704474,1740873600000
short,1652,1660,78420.0,86458.80633812715,192.0,stop_loss,-102.50964470960405,2.4000000000000004,-104.90964470960405,1744675200000
long,1677,1705,96443.2,103693.01185965067,672.0,stop_loss,75.17183025501714,5.4,69.77183025501714,1748563200000
long,1746,1769,111198.6,112557.94759598786,552.0,stop_loss,12.224502790393547,4.65,7.574502790393547,1754092800000
long,1781,1785,123361.7,115976.40591271303,96.0,stop_loss,-59.866993461398195,1.8,-61.66699346139819,1755475200000
long,1831,1838,120477.9,117364.68654505098,168.0,stop_loss,-25.84053552517943,2.25,-28.09053552517943,1760054400000
short,1864,1925,101436.4,93249.08677188854,1464.0,stop_loss,80.71375983484678,10.35,70.36375983484679,1767571200000
short,1946,1983,86628.8,70835.45087576432,888.0,stop_loss,182.31060714491812,6.750000000000001,175.56060714491812,1772582400000
long,2045,2057,79821.3,77390.18882163976,288.0,stop_loss,-30.456922880988394,3.0,-33.456922880988394,1778976000000
